縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,Int_Floor
臺北市,內湖區,房地(土地+建物)+車位,星雲街151~180號,25.59,都市：其他:第三種住宅區。,,,1100317,土地1建物1車位1,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841023.0,147.56,3,2,2,有,有,28580000,193684.0,坡道平面,39.45,0,陽台外推；,RPOTMLKLMHGGFCA37EA,127.98,2.27,5.96,有,,16
臺北市,中山區,房地(土地+建物),長春路1~30號,4.07,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100330,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990212.0,46.34,1,1,1,有,有,10880000,234786.0,,0.0,0,,RPRSMLKLMHGGFCA57EA,25.16,1.6,2.99,有,,14
臺北市,中正區,房地(土地+建物)+車位,水源路91~120號,14.73,都市：其他:第二種商業區。,,,1100329,土地2建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960302.0,179.95,4,2,2,有,有,29030000,175394.0,坡道平面,26.98,2200000,陽台外推；,RPTOMLNJNHGGFAA37EA,106.96,2.04,13.31,有,,15
臺北市,大安區,房地(土地+建物)+車位,敦化南路一段161巷61~90號,8.75,都市：其他:第四種住宅區。,,,1061220,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817.0,98.83,1,1,1,有,有,25800000,392209.0,坡道平面,42.61,3750000,,RPRNMLLJNHGGFFA27DA,30.55,3.19,3.06,有,,14
臺北市,大安區,房地(土地+建物)+車位,敦化南路一段161巷61~90號,28.54,都市：其他:第四種住宅區。,,,1100330,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817.0,268.79,3,2,2,有,有,64849590,333658.0,坡道平面,85.22,3600000,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLMLMHGGFFA77DA,103.27,12.12,9.36,有,,14
臺北市,大安區,房地(土地+建物),敦化南路二段121~150號,12.14,都市：其他:敦化南北路特定專用區(B區)(依都市計畫說明書圖規定辦理)(原屬第參種住宅區及第參之貳種住宅區)。,,,1100327,土地1建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,680219.0,147.4,6,1,1,有,有,40380000,273948.0,,0.0,0,陽台外推；其他增建；,RPUNMLKLMHGGFFA57DA,107.38,0.0,20.72,有,,16
臺北市,北投區,房地(土地+建物)+車位,光明路61~90號,4.57,都市：其他:第三種商業區。,,,1100408,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,961116.0,72.03,0,0,0,無,有,9750000,135360.0,坡道平面,35.66,0,,RPPOMLQLMHGGFEA67DA,20.93,0.46,2.39,有,125.0,23
臺北市,信義區,房地(土地+建物)+車位,仁愛路四段391~420號,15.34,都市：其他:第四之一種住宅區(特)。,,,1100408,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1020206.0,231.56,4,1,2,有,有,99330000,428960.0,坡道平面,0.0,4330000,,RPXOMLTLMHGGFDA68DA,125.69,0.0,12.17,有,,15
臺北市,信義區,房地(土地+建物)+車位,信義路五段91巷1~30號,57.77,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100331,土地1建物1車位2,十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,960621.0,409.94,4,3,4,有,有,183880000,448543.0,坡道平面,65.62,0,,RPVNMLOJNHGGFDA77DA,222.74,8.6,21.94,有,128.0,27
臺北市,信義區,房地(土地+建物),松山路204巷1~30號,15.68,都市：其他:第三種住宅區。,,,1100325,土地3建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760713.0,144.78,4,2,2,有,有,30480000,210526.0,,0.0,0,,RPVPMLSLMHGGFDA48DA,108.45,0.0,12.73,有,,16
